sample_location,ufn,species,survey_date,site_id,lat,lon,standard_length,fork_length,weight,date_processed,stock_1,prob_1,stock_2,prob_2,stock_3,prob_3,container_id,comments_sample,comments_fish_health_lab,comments_protocol
BRN16-F1,U1635,SO,2016-06-03,J05,50.507301,-126.24325,NA,104,8.7,2016-07-13,Quesnel_Horsef,0.96,Horsefly,0.02,M_Horsefly,0.01,BRN16,NA,NA,NA
BRN16-A3,U1636,SO,2016-06-02,D20,50.462513,-125.368231,NA,104,8.5,2016-07-14,Horsefly,0.53,Wasko_Cr,0.4,Quesnel_Mitche,0.04,BRN16,NA,NA,NA
BRN16-B3,U1637,SO,2016-06-02,D20,50.462513,-125.368231,NA,101,7.6,2016-07-14,L_Adams,0.88,L_Shuswap,0.1,Little,0.01,BRN16,NA,NA,NA
BRN16-C3,U1638,SO,2016-05-27,J07,50.4559,-126.1191,NA,99,7.7,2016-07-14,NA,NA,NA,NA,NA,NA,BRN16,NA,NA,NA
BRN16-D3,U1639,SO,2016-05-27,J07,50.4559,-126.1191,NA,98,7.1,2016-07-14,Chilko,0.6,Roaring,0.16,Quesnel_Horsef,0.15,BRN16,NA,NA,NA
BRN16-H3,U1640,SO,2016-05-27,J07,50.4559,-126.1191,NA,90,5.9,2016-07-14,L_Shuswap,0.66,Little,0.22,L_Adams,0.06,BRN16,NA,NA,NA
BRN16-B2,U1641,SO,2016-06-02,D20,50.462513,-125.368231,NA,81,6.7,2016-07-14,Chilko,0.49,Horsefly,0.33,Wasko_Cr,0.08,BRN16,NA,NA,NA
BRN16-C2,U1642,SO,2016-06-02,D20,50.462513,-125.368231,NA,91,8.8,2016-07-14,Horsefly,0.93,Chilko,0.04,L_Adams,0.02,BRN16,NA,NA,NA
BRN16-D2,U1643,SO,2016-06-02,D20,50.462513,-125.368231,NA,95,9.1,2016-07-14,Chilko,0.42,L_Adams,0.36,Sandpoint,0.05,BRN16,NA,NA,NA
BRN16-E2,U1644,SO,2016-06-02,D20,50.462513,-125.368231,NA,92,9.1,2016-07-14,Quesnel_Mitche,0.54,Wasko_Cr,0.24,Mitchell,0.22,BRN16,NA,NA,NA
BRN16-F2,U1645,SO,2016-06-02,D20,50.462513,-125.368231,NA,92,9.2,2016-07-14,Horsefly,0.83,Wasko_Cr,0.08,Chilko,0.04,BRN16,NA,NA,1 otolith is broken
BRN16-G2,U1646,SO,2016-05-27,J07,50.4559,-126.1191,NA,90,6.8,2016-07-14,Scotch,0.67,L_Shuswap,0.15,L_Adams,0.06,BRN16,NA,NA,NA
BRN16-E3,U1647,SO,2016-05-27,J07,50.4559,-126.1191,NA,88,7.1,2016-07-14,Roaring,0.54,Quesnel_Decept,0.18,Mitchell,0.1,BRN16,NA,NA,NA
BRN16-F3,U1648,SO,2016-05-27,J07,50.4559,-126.1191,NA,92,7.3,2016-07-14,L_Shuswap,0.86,Little,0.11,L_Adams,0.03,BRN16,NA,NA,NA
BRN16-G3,U1649,SO,2016-05-27,J07,50.4559,-126.1191,NA,90,7.7,2016-07-14,Chilko,0.99,Kynock,0,Sandpoint,0,BRN16,NA,NA,NA
BRN16-B4,U1651,SO,2016-05-27,J07,50.4559,-126.1191,NA,85,7.2,2016-07-14,Chilko,1,NA,NA,NA,NA,BRN16,NA,NA,NA
BRN16-C4,U1652,SO,2016-05-27,J07,50.4559,-126.1191,NA,94,7.9,2016-07-14,Quesnel_Horsef,0.62,U_Horsefly,0.18,Horsefly,0.08,BRN16,NA,NA,NA
BRN16-D4,U1653,SO,2016-05-27,J07,50.4559,-126.1191,NA,88,7.8,2016-07-14,Quesnel_Horsef,0.81,U_Horsefly,0.13,Horsefly,0.04,BRN16,NA,NA,NA
BRN16-E4,U1654,SO,2016-06-07,D22,50.242671,-125.398265,NA,106,13.4,2016-09-02,L_Adams,0.42,L_Shuswap,0.41,Little,0.15,BRN16,NA,NA,NA
BRN16-F4,U1655,SO,2016-06-07,D22,50.242671,-125.398265,NA,108,11.9,2016-09-02,NA,NA,NA,NA,NA,NA,BRN16,NA,NA,NA
BRN16-G4,U1656,SO,2016-06-07,D22,50.242671,-125.398265,NA,97,6.7,2016-09-02,L_Shuswap,0.86,Chilko-North,0.14,L_Adams,0,BRN16,NA,NA,Took liver DNA. only one otolith found
BRN16-H4,U1657,SO,2016-06-07,D09,50.30436,-125.332956,NA,90,7.9,2016-09-02,Little,0.4,L_Adams,0.35,Quesnel_Horsef,0.18,BRN16,NA,NA,NA
BRN16-H7,U1658,SO,2016-06-07,D09,50.30436,-125.332956,NA,94,8.1,2016-09-02,Scotch,0.92,Little,0.04,L_Shuswap,0.03,BRN16,NA,NA,Took liver DNA.
BRN16-G7,U1659,SO,2016-06-07,D09,50.30436,-125.332956,NA,90,7.4,2016-09-02,L_Adams,0.6,Little,0.27,Eagle_L,0.09,BRN16,NA,NA,NA
BRN16-F7,U1660,SO,2016-06-07,D09,50.30436,-125.332956,NA,99,NA,2016-09-02,Chilko-North,0.9,Chilko,0.1,NA,NA,BRN16,NA,NA,Forgot to weigh
BRN16-H5,U1661,SO,2016-06-07,D22,50.242671,-125.398265,NA,102,12.5,2016-09-02,L_Shuswap,0.98,Scotch,0.01,L_Adams,0,BRN16,NA,NA,Only one otolith found
BRN16-G5,U1662,SO,2016-06-07,D22,50.242671,-125.398265,NA,102,11.8,2016-09-02,L_Shuswap,0.62,L_Adams,0.19,Little,0.16,BRN16,NA,NA,One otolith broken
BRN16-F5,U1663,SO,2016-06-07,D22,50.242671,-125.398265,NA,91,10.3,2016-09-02,NA,NA,NA,NA,NA,NA,BRN16,NA,NA,NA
BRN16-E5,U1664,SO,2016-06-07,D09,50.30436,-125.332956,NA,92,8.5,2016-09-02,NA,NA,NA,NA,NA,NA,BRN16,NA,NA,NA
BRN16-D5,U1665,SO,2016-06-07,D09,50.30436,-125.332956,NA,94,8.5,2016-09-02,NA,NA,NA,NA,NA,NA,BRN16,NA,NA,NA
BRN16-C5,U1666,SO,2016-06-07,D09,50.30436,-125.332956,NA,85,6.7,2016-09-02,Scotch,0.99,Seymour,0.01,NA,NA,BRN16,NA,NA,NA
BRN16-B5,U1667,SO,2016-06-09,J02,50.602327,-126.701507,NA,93,11.1,2016-09-02,L_Adams,0.88,Seymour,0.09,Chilko,0.01,BRN16,NA,NA,NA
BRN16-A5,U1668,SO,2016-06-09,J02,50.602327,-126.701507,NA,84,9.1,2016-09-03,Chilko,0.56,Chilko-North,0.42,MiddleShuswap,0.01,BRN16,NA,NA,NA
BRN16-H8,U1669,SO,2016-06-09,J02,50.602327,-126.701507,NA,104,12.1,2016-09-03,MiddleShuswap,0.4,L_Shuswap,0.35,L_Adams,0.16,BRN16,NA,NA,NA
BRN16-G8,U1670,SO,2016-06-09,J02,50.602327,-126.701507,NA,95,10.5,2016-09-04,Scotch,0.87,L_Adams,0.1,Seymour,0.02,BRN16,NA,NA,NA
BRN16-H6,U1671,SO,2016-06-07,D22,50.242671,-125.398265,NA,117,11.8,2016-09-02,Chilko-North,0.88,Chilko,0.11,Little,0,BRN16,NA,NA,Non-motile x 1
BRN16-G6,U1672,SO,2016-06-07,D22,50.242671,-125.398265,NA,102,11.4,2016-09-02,L_Shuswap,0.99,MiddleShuswap,0,Little,0,BRN16,NA,NA,DNA taken (liver)
BRN16-F6,U1673,SO,2016-06-07,D22,50.242671,-125.398265,NA,97,10.2,2016-09-02,Quesnel_Horsef,0.75,McKinley,0.14,U_Horsefly,0.05,BRN16,NA,NA,NA
BRN16-E6,U1674,SO,2016-06-07,D22,50.242671,-125.398265,NA,97,10.6,2016-09-02,Scotch,0.95,Seymour,0.04,Eagle,0.01,BRN16,NA,NA,NA
BRN16-D6,U1675,SO,2016-06-07,D09,50.30436,-125.332956,NA,93,10.2,2016-09-02,L_Adams,0.43,Little,0.4,L_Shuswap,0.14,BRN16,NA,Large lesion (12mm x 5mm) on dorsal side behind head,Non-motile x 1
BRN16-C6,U1676,SO,2016-06-07,D09,50.30436,-125.332956,NA,89,8.4,2016-09-02,L_Shuswap,0.99,MiddleShuswap,0,Little,0,BRN16,NA,NA,NA
BRN16-B6,U1677,SO,2016-06-07,D09,50.30436,-125.332956,NA,84,7,2016-09-02,Scotch,0.49,Little,0.21,L_Adams,0.13,BRN16,NA,NA,NA
BRN16-A6,U1678,SO,2016-06-09,J02,50.602327,-126.701507,NA,89,8.9,2016-09-02,NA,NA,NA,NA,NA,NA,BRN16,NA,NA,NA
BRN16-E7,U1691,SO,2016-06-09,J02,50.602327,-126.701507,NA,95,10.9,2016-09-03,L_Shuswap,0.63,MiddleShuswap,0.37,L_Adams,0,BRN16,Cross contaminated spleen & liver microtubes,NA,I cross contaminated spleen and liver microtube. 1 otolith found
BRN16-D7,U1692,SO,2016-06-09,J02,50.602327,-126.701507,NA,108,14.1,2016-09-04,Quesnel_Horsef,0.46,MiddleShuswap,0.17,L_Adams,0.17,BRN16,NA,NA,Caligus chalimus x 1
BRN16-C7,U1693,SO,2016-06-09,J02,50.602327,-126.701507,NA,104,15.4,2016-09-04,Mitchell,0.8,Quesnel_Horsef,0.14,McKinley,0.02,BRN16,NA,NA,NA
BRN16-B7,U1694,SO,2016-06-14,D22,50.235322,-125.39888,NA,109,12.4,2016-09-06,Chilko,0.73,Chilko-North,0.1,MiddleShuswap,0.08,BRN16,NA,NA,One otolith
BRN16-A7,U1695,SO,2016-06-22,D21,50.382455,-125.373533,NA,107,10.3,2016-09-06,MiddleShuswap,0.97,L_Adams,0.01,Little,0.01,BRN16,NA,NA,NA
BRN16-H10,U1696,SO,2016-06-22,D21,50.382455,-125.373533,NA,130,18.3,2016-09-06,Chilko,0.57,Tachie,0.18,Little,0.11,BRN16,NA,NA,NA
BRN16-G10,U1697,SO,2016-06-22,D21,50.382455,-125.373533,NA,104,13.2,2016-09-06,Quesnel_Mitche,0.99,Mitchell,0.01,NA,NA,BRN16,NA,NA,NA
BRN16-F10,U1698,SO,2016-06-22,D21,50.382455,-125.373533,NA,117,12.8,2016-09-06,MiddleShuswap,0.99,L_Adams,0.01,Chilko,0,BRN16,NA,NA,NA
BRN16-E10,U1699,SO,2016-06-22,D21,50.382455,-125.373533,NA,111,15.6,2016-09-06,MiddleShuswap,0.96,Little,0.02,L_Adams,0.02,BRN16,NA,NA,NA
BRN16-D10,U1700,SO,2016-06-17,J01,50.579213,-126.71432,NA,95,10.2,2016-09-06,MiddleShuswap,0.71,L_Adams,0.28,Horsefly,0,BRN16,NA,NA,NA
BRN16-F8,U1701,SO,2016-06-09,J02,50.602327,-126.701507,NA,96,10.1,2016-09-04,Chilko,0.86,Chilko-North,0.08,L_Adams,0.03,BRN16,NA,NA,One otolith broken
BRN16-E8,U1702,SO,2016-06-09,J02,50.602327,-126.701507,NA,89,10.2,2016-09-04,Seymour,0.45,Scotch,0.36,L_Adams,0.12,BRN16,NA,NA,One otolith broken
BRN16-D8,U1703,SO,2016-06-14,D22,50.235322,-125.39888,NA,110,14.9,2016-09-04,Chilko,0.79,L_Shuswap,0.06,Chilko-North,0.06,BRN16,Forgot to cap vials overnight. Muscle contaminated with that of U1704,NA,Forgot to cap vials overnight. muscle sample contaminated with that of u1704. liver with large pale yellowish section.
BRN16-C8,U1704,SO,2016-06-14,D22,50.235322,-125.39888,NA,108,12.5,2016-09-05,MiddleShuswap,0.64,Eagle_L,0.36,L_Shuswap,0,BRN16,NA,NA,Bottom right scale in scale book got scratched a bit.
BRN16-B8,U1705,SO,2016-06-14,D22,50.235322,-125.39888,NA,120,18.1,2016-09-05,Sinta,0.69,Bivouac,0.09,Middle,0.09,BRN16,NA,"Large lesion, above lateral line, posterior to gills - picture. kidney tissue cotaminated with its own heart tissue.",NA
BRN16-A8,U1706,SO,2016-06-14,D22,50.235322,-125.39888,NA,118,16.4,2016-09-05,L_Shuswap,0.7,Eagle_L,0.12,Quesnel_Decept,0.09,BRN16,NA,NA,NA
BRN16-H9,U1707,SO,2016-06-14,D22,50.235322,-125.39888,NA,101,12.2,2016-09-05,Chilko,0.76,Chilko-North,0.1,Sinta,0.08,BRN16,NA,NA,NA
BRN16-G9,U1708,SO,2016-06-14,D22,50.235322,-125.39888,NA,105,11.4,2016-09-05,MiddleShuswap,0.52,Eagle_L,0.41,L_Shuswap,0.05,BRN16,NA,NA,NA
BRN16-F9,U1709,SO,2016-06-14,D22,50.235322,-125.39888,NA,98,8.6,2016-09-05,MiddleShuswap,0.79,L_Shuswap,0.14,Eagle_L,0.07,BRN16,NA,NA,NA
BRN16-E9,U1710,SO,2016-06-14,D22,50.235322,-125.39888,NA,109,11.5,2016-09-05,MiddleShuswap,0.7,L_Shuswap,0.28,Eagle_L,0.02,BRN16,NA,NA,One otolith broken
BRN16-D9,U1711,SO,2016-06-14,D22,50.235322,-125.39888,NA,103,12.8,2016-09-05,MiddleShuswap,0.79,L_Shuswap,0.21,NA,NA,BRN16,NA,Tiny spleen,NA
BRN16-C9,U1712,SO,2016-06-22,D21,50.382455,-125.373533,NA,120,14.9,2016-09-06,MiddleShuswap,0.95,L_Adams,0.04,Little,0.01,BRN16,NA,NA,One otolith broken
BRN16-B9,U1713,SO,2016-06-22,D21,50.382455,-125.373533,NA,109,13.1,2016-09-06,MiddleShuswap,0.75,L_Adams,0.18,Chilko,0.05,BRN16,NA,NA,NA
BRN16-A9,U1714,SO,2016-06-22,D21,50.382455,-125.373533,NA,114,14.7,2016-09-06,Tachie,0.41,Little,0.23,Chilko,0.19,BRN16,NA,NA,NA
BRN16-H11,U1715,SO,2016-06-22,D21,50.382455,-125.373533,NA,112,13.7,2016-09-06,L_Adams,0.39,MiddleShuswap,0.33,Little,0.25,BRN16,NA,NA,NA
BRN16-G11,U1716,SO,2016-06-22,D21,50.382455,-125.373533,NA,119,NA,2016-09-06,Chilko,0.91,Quesnel_Mitche,0.08,Tachie,0.01,BRN16,NA,NA,Forgot to record weight
BRN16-F11,U1717,SO,2016-06-17,J01,50.579213,-126.71432,NA,118,18.2,2016-09-06,MiddleShuswap,0.96,L_Adams,0.02,Scotch,0.01,BRN16,NA,NA,NA
BRN16-E11,U1718,SO,2016-06-17,J01,50.579213,-126.71432,NA,110,11.9,2016-09-07,Horsefly,1,Wasko_Cr,0,M_Horsefly,0,BRN16,NA,NA,NA
BRN16-C11,U1720,SO,2016-06-17,J01,50.579213,-126.71432,NA,94,10.7,2016-09-07,MiddleShuswap,1,L_Adams,0,NA,NA,BRN16,NA,NA,NA
BRN16-B11,U1731,SO,2016-06-10,J01,50.5771,-126.721684,NA,98,11,2016-09-08,MiddleShuswap,0.34,Seymour,0.3,L_Adams,0.17,BRN16,NA,NA,NA
BRN16-A11,U1732,SO,2016-06-10,J01,50.5771,-126.721684,NA,105,12.9,2016-09-08,MiddleShuswap,0.37,L_Adams,0.22,L_Shuswap,0.21,BRN16,NA,NA,NA
BRN16-C10,U1741,SO,2016-06-17,J01,50.579213,-126.71432,NA,105,13.9,2016-09-07,Horsefly,0.58,MiddleShuswap,0.26,L_Adams,0.16,BRN16,NA,NA,NA
BRN16-B10,U1742,SO,2016-06-17,J01,50.579213,-126.71432,NA,109,15.5,2016-09-07,L_Adams,0.54,MiddleShuswap,0.45,Seymour,0.01,BRN16,NA,NA,NA
BRN16-A10,U1743,SO,2016-06-17,J01,50.579213,-126.71432,NA,100,11.8,2016-09-07,MiddleShuswap,0.67,L_Adams,0.29,Scotch,0.03,BRN16,Fish fell on floor,NA,Dropped fish on floor
BRN16-H12,U1744,SO,2016-06-17,J01,50.579213,-126.71432,NA,120,15.5,2016-09-07,MiddleShuswap,0.9,L_Adams,0.1,Scotch,0,BRN16,NA,NA,NA
BRN16-G12,U1745,SO,2016-06-17,J01,50.579213,-126.71432,NA,108,12.4,2016-09-07,Hudson_Bay,0.21,Rossette,0.16,Gluskie,0.14,BRN16,NA,NA,NA
BRN16-F12,U1746,SO,2016-06-10,J01,50.5771,-126.721684,NA,89,8.4,2016-09-08,Chilko-North,0.51,Chilko,0.49,Chilko_south,0,BRN16,NA,NA,NA
BRN16-E12,U1747,SO,2016-06-10,J01,50.5771,-126.721684,NA,87,9.5,2016-09-08,Mitchell,1,Blue_Lead_Ck,0,Quesnel_Decept,0,BRN16,NA,NA,NA
BRN16-D12,U1748,SO,2016-06-10,J01,50.5771,-126.721684,NA,104,11.4,2016-09-08,L_Adams,0.59,MiddleShuswap,0.33,L_Shuswap,0.06,BRN16,NA,NA,NA
BRN16-C12,U1749,SO,2016-06-10,J01,50.5771,-126.721684,NA,98,9.4,2016-09-08,Chilko,0.96,Chilko-North,0.04,Chilko_south,0,BRN16,NA,NA,NA
BRN16-B12,U1750,SO,2016-06-10,J01,50.5771,-126.721684,NA,100,9.9,2016-09-08,L_Adams,0.96,MiddleShuswap,0.03,L_Shuswap,0.01,BRN16,NA,NA,NA
BRN16-A12,U1781,SO,2016-06-09,D07,50.190683,-125.143138,NA,93,8.9,2016-09-08,L_Shuswap,0.99,Little,0.01,MiddleShuswap,0,BRN16,NA,NA,NA
BRN16-D11,U1719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRN16,NA,NA,NA
BRN26-H4,U2262,SO,2016-05-21,J07,50.458043,-126.152637,94,NA,9.2,2016-11-02,NA,NA,NA,NA,NA,NA,BRN26,NA,NA,Fork length not taken because fin clip was in fork
BRN26-F4,U2263,SO,2016-05-21,J08,50.480359,-126.412275,101,105,11.9,2016-11-05,NA,NA,NA,NA,NA,NA,BRN26,NA,Pale heart,NA
BRN26-G4,U2264,SO,2016-05-21,J08,50.480359,-126.412275,96,NA,9.3,2016-11-05,Stellako,1,NA,NA,NA,NA,BRN26,NA,Pale kidney,NA
BRN26-E4,U2265,SO,2016-05-24,D21,50.392115,-125.374782,95,NA,8.5,2016-11-23,L_Adams,0.39,L_Shuswap,0.33,Little,0.26,BRN26,NA,NA,NA
BRN26-D4,U2266,SO,2016-05-24,D21,50.392115,-125.374782,89,NA,8.9,2016-11-23,Little,0.43,L_Adams,0.42,Horsefly,0.06,BRN26,NA,NA,NA
BRN26-C4,U2267,SO,2016-05-24,D21,50.392115,-125.374782,83,NA,6.8,2016-11-23,Seymour,0.69,L_Adams,0.26,L_Shuswap,0.04,BRN26,NA,NA,1 otolith
BRN26-B4,U2268,SO,2016-05-24,D21,50.392115,-125.374782,86,NA,8.2,2016-11-23,Horsefly,0.36,Quesnel_Horsef,0.24,U_Horsefly,0.15,BRN26,NA,NA,NA
BRN26-A4,U2269,SO,2016-05-24,D21,50.392115,-125.374782,86,91,6.8,2016-11-23,Little,0.94,L_Adams,0.06,L_Shuswap,0,BRN26,NA,Predator marks observed,NA
BRN26-H1,U2349,SO,2016-05-22,J10,50.558361,-126.732241,97,102,9.6,2016-11-01,Paula,0.53,Forfar,0.32,Hudson_Bay,0.06,BRN26,NA,NA,NA
BRN26-G1,U2350,SO,2016-05-22,J10,50.558361,-126.732241,83,87,6.8,2016-11-01,Blue_Lead_Ck,0.99,Quesnel_Decept,0,Wasko_Cr,0,BRN26,NA,NA,NA
BRN26-F1,U2351,SO,2016-05-22,J10,50.558361,-126.732241,79,83,7.2,2016-11-01,Chilko,0.88,Horsefly,0.09,Seymour,0.01,BRN26,NA,NA,NA
BRN26-E1,U2352,SO,2016-05-22,J10,50.558361,-126.732241,85,89,6.1,2016-11-01,Stellako,1,Nadina,0,NA,NA,BRN26,NA,NA,NA
BRN26-D1,U2353,SO,2016-05-22,J10,50.558361,-126.732241,85,90,6.6,2016-11-01,NA,NA,NA,NA,NA,NA,BRN26,NA,NA,NA
BRN26-C1,U2354,SO,2016-05-22,J10,50.558361,-126.732241,104,109,11,2016-11-01,Paula,0.41,Stellako,0.26,Horsefly,0.11,BRN26,NA,NA,NA
BRN26-B1,U2355,SO,2016-05-22,J10,50.558361,-126.732241,93,98,8.6,2016-11-01,Chilko,0.99,Horsefly,0.01,Raft,0.01,BRN26,NA,NA,NA
BRN26-A1,U2356,SO,2016-05-22,J10,50.558361,-126.732241,82,87,6.2,2016-11-02,Chilko,1,Blackwater,0,NA,NA,BRN26,NA,NA,NA
BRN26-H2,U2357,SO,2016-05-22,J10,50.558361,-126.732241,87,92,7.2,2016-11-02,L_Shuswap,0.97,Seymour,0.01,Little,0.01,BRN26,NA,NA,NA
BRN26-G2,U2358,SO,2016-05-22,J10,50.558361,-126.732241,94,99,9.4,2016-11-02,Horsefly,0.61,U_Horsefly,0.37,M_Horsefly,0.02,BRN26,NA,NA,NA
BRN26-F2,U2359,SO,2016-05-26,J05,50.495266,-126.211667,76,80,5.4,2016-11-02,Chilko,0.99,Quesnel_Horsef,0.01,Tachie,0,BRN26,NA,NA,NA
BRN26-E2,U2360,SO,2016-05-26,J05,50.495266,-126.211667,90,95,8.4,2016-11-02,Kynock,0.24,Quesnel_Horsef,0.24,Chilko,0.14,BRN26,NA,NA,NA
BRN26-D2,U2361,SO,2016-05-26,J05,50.495266,-126.211667,84,89,6.7,2016-11-02,Little,0.62,Quesnel_Horsef,0.23,L_Adams,0.12,BRN26,NA,NA,NA
BRN26-C2,U2362,SO,2016-05-26,J05,50.495266,-126.211667,81,86,6.8,2016-11-02,Chilko,1,Portage_Cr,0,L_Adams,0,BRN26,NA,NA,NA
BRN26-B2,U2363,SO,2016-05-26,J05,50.495266,-126.211667,89,94,8.5,2016-11-02,Quesnel_Horsef,0.67,U_Horsefly,0.11,Little,0.08,BRN26,NA,NA,NA
BRN26-A2,U2364,SO,2016-05-26,J05,50.495266,-126.211667,90,95,7,2016-11-03,Scotch,0.9,Seymour,0.08,Eagle,0.01,BRN26,NA,NA,NA
BRN26-H5,U2365,SO,2016-05-26,J05,50.495266,-126.211667,93,98,9.9,2016-11-03,L_Shuswap,0.93,Chilko,0.04,MiddleShuswap,0.02,BRN26,NA,NA,NA
BRN26-G5,U2366,SO,2016-05-26,J05,50.495266,-126.211667,82,87,6.1,2016-11-03,Chilko,0.99,Little,0.01,L_Adams,0,BRN26,NA,NA,NA
BRN26-F5,U2367,SO,2016-05-26,J05,50.495266,-126.211667,78,83,NA,2016-11-03,Scotch,0.9,Little,0.08,L_Adams,0.01,BRN26,NA,NA,Significant outer trauma. (photo taken).
BRN26-E5,U2368,SO,2016-05-26,J05,50.495266,-126.211667,87,NA,6.7,2016-11-03,Little,0.69,L_Adams,0.16,Quesnel_Horsef,0.05,BRN26,NA,NA,NA
BRN26-D5,U2369,SO,2016-06-01,J01,50.576696,-126.721158,113,119,14.8,2016-11-03,Quesnel_Horsef,0.92,L_Adams,0.03,Horsefly,0.02,BRN26,NA,NA,NA
BRN26-C5,U2370,SO,2016-06-01,J01,50.576696,-126.721158,97,101,10.4,2016-11-04,L_Shuswap,0.99,L_Adams,0.01,MiddleShuswap,0,BRN26,NA,NA,NA
BRN26-B5,U2371,SO,2016-06-01,J01,50.576696,-126.721158,95,100,9.5,2016-11-04,L_Adams,0.72,L_Shuswap,0.28,MiddleShuswap,0,BRN26,NA,NA,NA
BRN26-A5,U2372,SO,2016-06-01,J01,50.576696,-126.721158,95,100,9.8,2016-11-04,L_Adams,0.9,L_Shuswap,0.09,MiddleShuswap,0,BRN26,NA,NA,NA
BRN26-H7,U2373,SO,2016-06-01,J01,50.576696,-126.721158,106,111,12.6,2016-11-04,Seymour,0.86,L_Adams,0.14,Chilko_south,0,BRN26,NA,NA,NA
BRN26-G7,U2374,SO,2016-06-01,J01,50.576696,-126.721158,92,NA,8.3,2016-11-04,Mitchell,0.99,Quesnel_Mitche,0.01,NA,NA,BRN26,NA,NA,NA
BRN26-F7,U2375,SO,2016-06-01,J01,50.576696,-126.721158,100,106,11.7,2016-11-04,Seymour,0.99,L_Shuswap,0,L_Adams,0,BRN26,NA,NA,NA
BRN26-E7,U2376,SO,2016-06-01,J01,50.576696,-126.721158,105,111,11.5,2016-11-04,Seymour,1,Scotch,0,NA,NA,BRN26,NA,NA,NA
BRN26-D7,U2377,SO,2016-06-01,J01,50.576696,-126.721158,98,103,10.6,2016-11-04,Quesnel_Horsef,0.67,Chilko,0.25,L_Adams,0.03,BRN26,NA,NA,NA
BRN26-C7,U2378,SO,2016-06-14,D27,50.275083,-125.381356,100,106,12.1,2016-11-05,MiddleShuswap,0.6,L_Shuswap,0.4,Eagle_L,0,BRN26,NA,NA,NA
BRN26-B7,U2379,SO,2016-06-14,D27,50.275083,-125.381356,106,112,14.3,2016-11-05,MiddleShuswap,0.47,Eagle_L,0.21,Seymour,0.18,BRN26,NA,NA,NA
BRN26-A7,U2380,SO,2016-06-14,D27,50.275083,-125.381356,104,110,12.2,2016-11-05,MiddleShuswap,0.56,L_Shuswap,0.44,NA,NA,BRN26,NA,NA,NA
BRN26-H8,U2381,SO,2016-06-14,D27,50.275083,-125.381356,94,NA,8.2,2016-11-07,Chilko,0.88,Chilko-North,0.1,Horsefly,0,BRN26,NA,NA,NA
BRN26-G8,U2382,SO,2016-06-14,D27,50.275083,-125.381356,96,102,10,2016-11-07,Eagle_L,0.94,L_Shuswap,0.05,MiddleShuswap,0.01,BRN26,NA,NA,NA
BRN26-F8,U2383,SO,2016-06-14,D27,50.275083,-125.381356,105,110,13.1,2016-11-07,Sinta,0.61,Middle,0.09,Stellako,0.08,BRN26,NA,NA,NA
BRN26-E8,U2384,SO,2016-06-03,D24,50.239953,-125.126574,85,90,6.8,2016-11-07,Scotch,0.89,L_Shuswap,0.07,Little,0.02,BRN26,NA,NA,NA
BRN26-D8,U2385,SO,2016-06-03,D24,50.239953,-125.126574,100,105,11.1,2016-11-07,Chilko,0.98,L_Shuswap,0.01,L_Adams,0.01,BRN26,NA,NA,NA
BRN26-C8,U2386,SO,2016-06-03,D24,50.239953,-125.126574,83,87,6.4,2016-11-07,L_Adams,0.53,L_Shuswap,0.18,Scotch,0.15,BRN26,NA,NA,Lesions on posterior flanks; see photo
BRN26-B8,U2387,SO,2016-06-03,D24,50.239953,-125.126574,88,96,7,2016-11-07,L_Adams,0.8,L_Shuswap,0.16,Portage_Cr,0.02,BRN26,NA,NA,Lesions on posterior flanks; see photo
BRN26-A8,U2388,SO,2016-06-03,D24,50.239953,-125.126574,90,NA,7.2,2016-11-07,L_Shuswap,0.95,Little,0.03,L_Adams,0.03,BRN26,NA,NA,No stomach taken
BRN26-H3,U2431,SO,2016-05-21,J07,50.458043,-126.152637,113,118,14.3,2016-11-02,Stellako,0.94,Forfar,0.03,Chilko,0.01,BRN26,NA,NA,NA
BRN26-G3,U2432,SO,2016-05-21,J07,50.458043,-126.152637,87,92,7.7,2016-11-02,Horsefly,0.43,Chilko,0.28,U_Horsefly,0.22,BRN26,NA,NA,NA
BRN26-F3,U2433,SO,2016-05-21,J07,50.458043,-126.152637,91,96,7.6,2016-11-02,L_Shuswap,0.91,Little,0.05,Stellako,0.04,BRN26,NA,NA,NA
BRN26-E3,U2434,SO,2016-05-21,J07,50.458043,-126.152637,89,97,7.1,2016-11-02,NA,NA,NA,NA,NA,NA,BRN26,NA,NA,NA
BRN26-D3,U2435,SO,2016-05-21,J07,50.458043,-126.152637,88,NA,8.6,2016-11-03,Blue_Lead_Ck,0.96,Horsefly,0.02,Roaring,0.01,BRN26,NA,NA,NA
BRN26-C3,U2436,SO,2016-05-21,J07,50.458043,-126.152637,105,NA,12.1,2016-11-03,Stellako,1,Kuzkwa_Cr,0,NA,NA,BRN26,NA,NA,NA
BRN26-B3,U2437,SO,2016-05-21,J07,50.458043,-126.152637,96,NA,9.5,2016-11-03,Horsefly,0.63,U_Horsefly,0.37,Chilko,0,BRN26,NA,NA,NA
BRN26-A3,U2438,SO,2016-05-21,J07,50.458043,-126.152637,102,NA,11.5,2016-11-03,NA,NA,NA,NA,NA,NA,BRN26,NA,Pale kidney.,NA
