ufn,semsp_id,date_processed,cwt,adipose,weight,standard_length,fork_length,length delta,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,qc_data
U918,2015-05-30-J05-SO-2,2016-01-05,none,none,10.5,NA,98,NA,NA,NA,NA,KI,full work-up 1,CK
U919,2015-05-30-J05-SO-8,2016-01-05,none,none,12.4,NA,105,NA,NA,NA,NA,KI,full work-up 1,CK
U921,2015-05-30-J05-SO-10,2016-01-05,none,none,10.5,NA,100,NA,NA,NA,Pale liver,CK,full work-up 1,CK
U922,2015-05-30-J05-SO-1,2016-01-05,none,none,11.5,NA,108,NA,NA,NA,NA,CK,full work-up 1,CK
U931,2015-06-06-J07-SO-4,2016-01-05,none,none,14.6,NA,121,NA,NA,NA,NA,DS,full work-up 1,CK
U932,2015-06-06-J07-SO-14,2016-01-05,none,none,19.2,NA,132,NA,NA,NA,NA,DS,full work-up 1,CK
U933,2015-06-06-J07-SO-5,2016-01-05,none,none,17,NA,118,NA,NA,NA,NA,DS,full work-up 1,CK
U934,2015-06-06-J07-SO-3,2016-01-05,none,none,19.8,NA,117,NA,NA,NA,NA,DS,full work-up 1,CK
U935,2015-06-06-J07-SO-9,2016-01-05,none,none,17.9,NA,119,NA,NA,NA,NA,DS,full work-up 1,CK
U936,2015-05-30-J05-SO-6,2016-01-05,none,none,12.3,NA,106,NA,NA,1 cal chal a not retained,NA,DS,full work-up 1,CK
U856,2015-05-30-J05-SO-4,2016-01-06,none,none,9.1,NA,92,NA,NA,NA,Pale liver,LP,full work-up 1,KI
U857,2015-06-07-J05-SO-3,2016-01-06,none,none,15.1,NA,111,NA,NA,NA,NA,LP,full work-up 1,KI
U858,2015-06-07-J05-SO-13,2016-01-06,none,none,17.8,NA,120,NA,NA,NA,NA,LP,full work-up 1,KI
U859,2015-06-07-J05-SO-8,2016-01-06,none,none,12.5,NA,103,NA,NA,NA,NA,LP,full work-up 1,KI
U860,2015-06-07-J05-SO-5,2016-01-06,none,none,16.7,NA,119,NA,NA,NA,NA,LP,full work-up 1,KI
U920,2015-05-30-J05-SO-3,2016-01-06,none,none,11.4,NA,110,NA,NA,NA,NA,KI,full work-up 1,KI
U923,2015-05-30-J05-SO-5,2016-01-06,none,none,8.3,NA,90,NA,NA,NA,NA,CK,full work-up 1,KI
U924,2015-06-07-J05-SO-9,2016-01-06,none,none,15.1,NA,111,NA,NA,NA,NA,CK,full work-up 1,KI
U925,2015-06-07-J05-SO-7,2016-01-06,none,none,14.9,NA,106,NA,NA,NA,NA,CK,full work-up 1,KI
U926,2015-06-07-J05-SO-4,2016-01-06,none,none,13.5,NA,111,NA,NA,NA,NA,CK,full work-up 1,KI
U927,2015-06-07-J05-SO-6,2016-01-06,none,none,9.6,NA,104,NA,NA,NA,NA,CK,full work-up 1,KI
U928,2015-06-07-J05-SO-10,2016-01-06,none,none,12.1,NA,109,NA,NA,NA,NA,CK,full work-up 1,KI
U939,2015-06-07-J05-SO-15,2016-01-06,none,none,12.2,NA,116,NA,NA,Fatty acid sample thawed (left on tray) so may not be viable,NA,DS,full work-up 1,KI
U941,2015-06-01-J01-SO-21,2016-01-06,none,none,12.5,NA,108,NA,NA,NA,NA,LP,full work-up 1,KI
U961,2015-06-07-J05-SO-11,2016-01-06,none,none,12.3,NA,113,NA,NA,1 cal cop not retained,NA,KI,full work-up 1,KI
U962,2015-06-01-J01-SO-19,2016-01-06,none,none,13.2,NA,103,NA,NA,NA,NA,KI,full work-up 1,KI
U963,2015-06-01-J01-SO-14,2016-01-06,none,none,15.9,NA,120,NA,NA,NA,NA,KI,full work-up 1,KI
U929,2015-06-01-J01-SO-13,2016-01-07,none,none,11.7,NA,99,NA,NA,NA,NA,CK,full work-up 1,DS
U930,2015-05-29-J06-SO-8,2016-01-07,none,none,11.2,NA,110,NA,NA,NA,NA,CK,full work-up 1,DS
U940,2015-06-01-J01-SO-24,2016-01-07,none,none,11.2,NA,109,NA,NA,NA,NA,DS,full work-up 1,DS
U942,2015-06-01-J01-SO-23,2016-01-07,none,none,15.1,NA,122,NA,NA,NA,NA,LP,full work-up 1,DS
U943,2015-05-29-J06-SO-7,2016-01-07,none,none,9.2,NA,107,NA,NA,NA,NA,LP,full work-up 1,DS
U951,2015-06-01-J01-SO-15,2016-01-07,none,none,11.6,NA,113,NA,NA,NA,NA,DS,full work-up 1,DS
U952,2015-06-01-J01-SO-25,2016-01-07,none,none,NA,NA,100,NA,NA,"Post dissection weight of 10.0g. Sea louse vial dropped, may have lost some lice.",NA,DS,full work-up 1,DS
U953,2015-05-29-J06-SO-10,2016-01-07,none,none,18.2,NA,118,NA,NA,NA,Lep chal a retained but got a bit squished,DS,full work-up 1,DS
U954,2015-05-29-J06-SO-9,2016-01-07,none,none,18.2,NA,115,NA,NA,NA,NA,DS,full work-up 1,DS
U955,2015-05-29-J06-SO-4,2016-01-07,none,none,NA,NA,98,NA,NA,Post dissection weight of 8.1g,NA,DS,full work-up 1,DS
U956,2015-06-07-J06-SO-24,2016-01-07,none,none,13,NA,98,NA,NA,NA,NA,DS,full work-up 1,DS
U964,2015-06-01-J01-SO-20,2016-01-07,none,none,11.7,NA,112,NA,NA,NA,NA,KI,full work-up 1,DS
U965,2015-06-01-J01-SO-22,2016-01-07,none,none,6.7,NA,95,NA,NA,NA,NA,KI,full work-up 1,DS
U966,2015-05-29-J06-SO-11,2016-01-07,none,none,9.6,NA,107,NA,NA,NA,NA,KI,full work-up 1,DS
U967,2015-05-29-J06-SO-18,2016-01-07,none,none,10.5,NA,100,NA,NA,NA,NA,KI,full work-up 1,DS
U968,2015-05-29-J06-SO-6,2016-01-07,none,none,22,NA,125,NA,NA,NA,NA,KI,full work-up 1,DS
U969,2015-06-07-J06-SO-22,2016-01-07,none,none,13,NA,105,NA,NA,NA,NA,KI,full work-up 1,DS
U981,2015-05-29-J06-SO-12,2016-01-07,none,none,21.2,NA,120,NA,NA,NA,NA,CK,full work-up 1,DS
U982,2015-06-07-J06-SO-30,2016-01-07,none,none,15.6,NA,115,NA,NA,NA,NA,CK,full work-up 1,DS
U944,2015-06-07-J06-SO-20,2016-01-08,none,none,11.6,NA,111,NA,NA,NA,NA,DS,full work-up 1,KI
U945,2015-06-07-J06-SO-17,2016-01-08,none,none,15.8,NA,123,NA,NA,NA,NA,DS,full work-up 1,KI
U946,2015-06-07-D09-SO-19,2016-01-08,none,none,14.9,NA,122,NA,NA,NA,NA,DS,full work-up 1,KI
U957,2015-06-07-J06-SO-23,2016-01-08,none,none,15.8,NA,123,NA,NA,NA,NA,DS,full work-up 1,KI
U958,2015-06-07-D09-SO-17,2016-01-08,none,none,15.9,NA,114,NA,NA,NA,NA,DS,full work-up 1,KI
U959,2015-06-07-D09-SO-12,2016-01-08,none,none,15.7,NA,114,NA,NA,NA,NA,DS,full work-up 1,KI
U960,2015-06-07-D09-SO-16,2016-01-08,none,none,18.4,NA,117,NA,NA,NA,NA,DS,full work-up 1,KI
U970,2015-06-07-J06-SO-29,2016-01-08,none,none,10.2,NA,107,NA,NA,NA,NA,DS,full work-up 1,KI
U983,2015-06-07-J06-SO-19,2016-01-08,none,none,10.6,NA,105,NA,NA,NA,NA,DS,full work-up 1,KI
U984,2015-06-07-J06-SO-25,2016-01-08,none,none,12,NA,111,NA,NA,Louse vial dropped,NA,DS,full work-up 1,KI
U985,2015-06-07-D09-SO-18,2016-01-08,none,none,15.9,NA,116,NA,NA,NA,NA,DS,full work-up 1,CK
U986,2015-06-07-D09-SO-13,2016-01-08,none,none,18.5,NA,116,NA,NA,NA,NA,DS,full work-up 1,CK
U987,2015-06-07-D09-SO-11,2016-01-08,none,none,18.9,NA,120,NA,NA,NA,NA,DS,full work-up 1,CK
U991,2015-06-07-J06-SO-16,2016-01-08,none,none,12.3,NA,113,NA,NA,NA,1 otolith,DS,full work-up 1,KI
U992,2015-06-07-D09-SO-20,2016-01-08,none,none,16.9,NA,116,NA,NA,NA,NA,DS,full work-up 1,KI
U993,2015-06-07-D09-SO-14,2016-01-08,none,none,15.7,NA,111,NA,NA,NA,NA,DS,full work-up 1,KI
U994,2015-06-07-D09-SO-15,2016-01-08,none,none,15.9,NA,117,NA,NA,NA,NA,DS,full work-up 1,KI
U988,2015-06-07-D09-SO-10,2016-01-11,none,none,16.6,NA,114,NA,NA,NA,NA,CK,full work-up 1,KI
U989,2015-06-20-D09-SO-24,2016-01-11,none,none,12.3,NA,123,NA,NA,NA,NA,CK,full work-up 1,KI
U990,2015-06-20-D09-SO-28,2016-01-11,none,none,13,NA,106,NA,NA,NA,NA,CK,full work-up 1,KI
U995,2015-06-07-D09-SO-2,2016-01-11,none,none,15.5,NA,110,NA,NA,NA,NA,KI,full work-up 1,KI
U996,2015-06-20-D09-SO-23,2016-01-11,none,none,13.3,NA,105,NA,NA,NA,NA,KI,full work-up 1,KI
U997,2015-06-20-D09-SO-25,2016-01-11,none,none,16.7,NA,114,NA,NA,NA,NA,KI,full work-up 1,KI
U998,2015-06-20-D09-SO-26,2016-01-11,none,none,17.9,NA,118,NA,NA,NA,NA,KI,full work-up 1,KI
U999,2015-06-05-D10-SO-22,2016-01-11,none,none,12.6,NA,100,NA,NA,NA,NA,KI,full work-up 1,KI
U1001,2015-06-20-D09-SO-22,2016-01-11,none,none,20.6,NA,123,NA,NA,NA,NA,DS,full work-up 1,KI
U1002,2015-06-20-D09-SO-30,2016-01-11,none,none,17.8,NA,117,NA,NA,NA,NA,DS,full work-up 1,KI
U1003,2015-06-20-D09-SO-27,2016-01-11,none,none,15.1,NA,113,NA,NA,NA,NA,DS,full work-up 1,KI
U1004,2015-06-20-D09-SO-21,2016-01-11,none,none,18.5,NA,115,NA,NA,NA,NA,DS,full work-up 1,KI
U1005,2015-06-05-D10-SO-12,2016-01-11,none,none,13.3,NA,105,NA,NA,NA,NA,DS,full work-up 1,KI
U1006,2015-06-05-D10-SO-14,2016-01-11,none,none,12.1,NA,101,NA,NA,NA,NA,DS,full work-up 1,KI
U1011,2015-06-20-D09-SO-29,2016-01-11,none,none,14.4,NA,111,NA,NA,NA,NA,CK,full work-up 1,KI
U1012,2015-06-20-D09-SO-18,2016-01-11,none,none,8.9,NA,91,NA,NA,NA,NA,CK,full work-up 1,KI
U1013,2015-06-05-D10-SO-17,2016-01-11,none,none,22.3,NA,120,NA,NA,NA,NA,CK,full work-up 1,KI
U947,2015-06-05-D10-SO-18,2016-01-12,none,none,14.3,NA,118,NA,NA,NA,NA,LP,full work-up 1,LP
U948,2015-06-05-D10-SO-20,2016-01-12,none,none,14.4,NA,123,NA,NA,NA,NA,LP,full work-up 1,LP
U949,2015-06-05-D10-SO-21,2016-01-12,none,none,9.2,NA,104,NA,NA,NA,NA,LP,full work-up 1,LP
U950,2015-05-31-J03-SO-7,2016-01-12,none,none,13.1,NA,108,NA,NA,NA,NA,LP,full work-up 1,LP
U1000,2015-06-05-D10-SO-16,2016-01-12,none,none,8.5,NA,97,NA,NA,NA,NA,KI,full work-up 1,LP
U1007,2015-06-05-D10-SO-15,2016-01-12,none,none,15.6,NA,105,NA,NA,NA,NA,DS,full work-up 1,LP
U1008,2015-05-31-J03-SO-2,2016-01-12,none,none,9.4,NA,95,NA,NA,1 cal chal a not retained,NA,DS,full work-up 1,LP
U1009,2015-05-31-J03-SO-4,2016-01-12,none,none,9,NA,95,NA,NA,NA,NA,DS,full work-up 1,LP
U1010,2015-05-31-J03-SO-17,2016-01-12,none,none,12.2,NA,95,NA,NA,NA,NA,DS,full work-up 1,LP
U1014,2015-06-05-D10-SO-13,2016-01-12,none,none,14,NA,NA,NA,NA,NA,NA,CK,full work-up 1,LP
U1015,2015-05-31-J03-SO-18,2016-01-12,none,none,9.9,NA,95,NA,NA,NA,NA,CK,full work-up 1,LP
U1016,2015-05-31-J03-SO-11,2016-01-12,none,none,9.5,NA,99,NA,NA,Muscle contaminated,NA,CK,full work-up 1,LP
U1017,2015-05-31-J03-SO-12,2016-01-12,none,none,7.3,NA,90,NA,NA,NA,NA,CK,full work-up 1,LP
U1021,2015-06-05-D10-SO-19,2016-01-12,none,none,14.1,NA,121,NA,NA,NA,NA,KI,full work-up 1,LP
U1022,2015-05-31-J03-SO-5,2016-01-12,none,none,NA,NA,97,NA,NA,Post dissection weight of 7.8,NA,KI,full work-up 1,LP
U1031,2015-05-31-J03-SO-1,2016-01-12,none,none,8.8,NA,95,NA,NA,NA,NA,LP,full work-up 1,LP
U1032,2015-05-31-J03-SO-3,2016-01-12,none,none,9.2,NA,100,NA,NA,NA,NA,LP,full work-up 1,LP
U1018,2015-06-07-J09-SO-14,2016-01-13,none,none,10,NA,102,NA,NA,NA,NA,CK,full work-up 1,CK
U1019,2015-06-07-J09-SO-12,2016-01-13,none,none,9.1,NA,96,NA,NA,No gill sample,NA,CK,full work-up 1,CK
U1020,2015-06-07-J09-SO-11,2016-01-13,none,none,16.8,NA,121,NA,NA,NA,NA,CK,full work-up 1,CK
U1023,2015-06-07-J09-SO-13,2016-01-13,none,none,11.8,NA,106,NA,NA,NA,NA,KI,full work-up 1,CK
U1024,2015-06-07-J09-SO-2,2016-01-13,none,none,14.8,NA,110,NA,NA,NA,NA,KI,full work-up 1,KI
U1025,2015-06-07-J09-SO-10,2016-01-13,none,none,13.2,NA,110,NA,NA,NA,NA,KI,full work-up 1,KI
U1026,2015-06-07-J09-SO-3,2016-01-13,none,none,11,NA,102,NA,NA,NA,NA,KI,full work-up 1,KI
U1027,2015-06-07-J09-SO-15,2016-01-13,none,none,14.3,NA,116,NA,NA,NA,NA,KI,full work-up 1,KI
U1028,2015-06-14-D11-SO-24,2016-01-13,none,none,22.3,NA,127,NA,NA,NA,NA,KI,full work-up 1,KI
U1033,2015-06-14-D11-SO-29,2016-01-13,none,none,17.9,NA,125,NA,NA,NA,Healed scars on left side,LP,full work-up 1,KI
U1034,2015-06-14-D11-SO-30,2016-01-13,none,none,13.2,NA,109,NA,NA,Smashed cal. chal a not retained,NA,LP,full work-up 1,CK
U1041,2015-05-31-J03-SO-6,2016-01-13,none,none,12.8,NA,110,NA,NA,NA,NA,DS,full work-up 1,KI
U1042,2015-06-07-J09-SO-9,2016-01-13,none,none,12.1,NA,106,NA,NA,NA,NA,DS,full work-up 1,KI
U1043,2015-06-07-J09-SO-5,2016-01-13,none,none,11.8,NA,100,NA,NA,NA,NA,DS,full work-up 1,KI
U1044,2015-06-07-J09-SO-1,2016-01-13,none,none,15.1,NA,111,NA,NA,NA,Lots of missing scales,DS,full work-up 1,KI
U1051,2015-06-23-J03-CU-8,2016-01-13,none,none,20.7,NA,131,NA,NA,"Chum, both otoliths in fragments, bits collected",NA,CK,full work-up 1,CK
U1052,2015-06-14-D11-SO-22,2016-01-13,none,none,14.5,NA,110,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,CK
U1053,2015-06-14-D11-SO-25,2016-01-13,none,none,14.5,NA,109,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,CK
U1029,2015-06-22-D10-SO-12,2016-01-14,none,none,20.8,NA,133,NA,NA,No scales taken.,NA,KI,full work-up 1,DS
U1035,2015-06-14-D11-SO-21,2016-01-14,none,none,19,NA,120,NA,NA,NA,NA,LP,full work-up 1,DS
U1036,2015-06-20-D11-SO-2,2016-01-14,none,none,18.6,NA,119,NA,NA,NA,NA,LP,full work-up 1,DS
U1037,2015-06-23-D06-SO-5,2016-01-14,none,none,17.3,NA,123,NA,NA,NA,NA,LP,full work-up 1,DS
U1038,2015-06-23-D06-SO-2,2016-01-14,none,none,17.4,NA,123,NA,NA,NA,NA,LP,full work-up 1,DS
U1039,2015-06-22-D10-SO-11,2016-01-14,none,none,19.9,NA,128,NA,NA,"Muscle and gill RNA in 9-d8; brain, spleen, liver, heart and kidney RNA in 9-c8",NA,LP,full work-up 1,DS
U1040,2015-06-22-D10-SO-17,2016-01-14,none,none,18,NA,126,NA,NA,NA,NA,LP,full work-up 1,DS
U1045,2015-06-14-D11-SO-27,2016-01-14,none,none,NA,NA,124,NA,NA,19.6 pdw,NA,DS,full work-up 1,DS
U1046,2015-06-14-D11-SO-28,2016-01-14,none,none,11.3,NA,100,NA,NA,NA,NA,DS,full work-up 1,DS
U1047,2015-06-20-D11-SO-3,2016-01-14,none,none,17.3,NA,113,NA,NA,NA,NA,DS,full work-up 1,DS
U1048,2015-06-23-D06-SO-1,2016-01-14,none,none,20,NA,119,NA,NA,NA,NA,DS,full work-up 1,DS
U1049,2015-06-23-D06-SO-6,2016-01-14,none,none,29.3,NA,143,NA,NA,NA,Cracked otolith,DS,full work-up 1,DS
U1050,2015-06-22-D10-SO-13,2016-01-14,none,none,20.3,NA,129,NA,NA,NA,NA,DS,full work-up 1,DS
U1054,2015-06-14-D11-SO-26,2016-01-14,none,none,14.8,NA,108,NA,NA,One otolith. Correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,DS
U1055,2015-06-20-D11-SO-1,2016-01-14,none,none,17.7,NA,115,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,DS
U1056,2015-06-23-D06-SO-3,2016-01-14,none,none,21,NA,121,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,DS
U1057,2015-06-23-D06-SO-4,2016-01-14,none,none,24.4,NA,128,NA,NA,Cal. chal a not retained (stuck to tray); correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,DS
U1071,2015-06-22-D10-SO-14,2016-01-14,none,none,23.2,NA,134,NA,NA,NA,Lots of open lesions on flank/ dorsal surface,DS,full work-up 1,DS
U1072,2015-06-22-D10-SO-16,2016-01-14,none,none,20.4,NA,125,NA,NA,NA,NA,DS,full work-up 1,DS
U1030,2015-06-22-D10-SO-20,2016-01-15,none,none,19.6,NA,123,NA,NA,NA,NA,KI,full work-up 1,DS
U1058,2015-06-22-D10-SO-19,2016-01-15,none,none,17.7,NA,124,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,DS
U1059,2015-06-22-D10-SO-9,2016-01-15,none,none,18.9,NA,126,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,DS
U1060,2015-05-15-D03-SO-23,2016-01-15,none,none,19.9,NA,125,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,DS
U1061,2015-06-14-D09-SO-13,2016-01-15,none,none,16.5,NA,115,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,DS
U1062,2015-06-14-D09-SO-16,2016-01-15,none,none,15.2,NA,109,NA,NA,One cracked otolith; correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,DS
U1063,2015-06-14-D09-SO-20,2016-01-15,none,none,18.3,NA,120,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,DS
U1064,2015-05-31-J09-SO-30,2016-01-15,none,none,9,NA,98,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,DS
U1073,2015-06-22-D10-SO-18,2016-01-15,none,none,21.6,NA,120,NA,NA,FA location unknown,NA,DS,full work-up 1,KI
U1074,2015-06-14-D09-SO-14,2016-01-15,none,none,14.2,NA,108,NA,NA,NA,NA,DS,full work-up 1,KI
U1075,2015-06-14-D09-SO-18,2016-01-15,none,none,23,NA,124,NA,NA,NA,NA,DS,full work-up 1,KI
U1081,2015-06-22-D10-SO-15,2016-01-15,none,none,21.3,NA,131,NA,NA,NA,NA,LP,full work-up 1,KI
U1082,2015-05-15-D03-SO-24,2016-01-15,none,none,13.6,NA,110,NA,NA,1 cal chal a not retained,NA,LP,full work-up 1,KI
U1083,2015-06-14-D09-SO-15,2016-01-15,none,none,15,NA,114,NA,NA,NA,NA,LP,full work-up 1,KI
U1091,2015-05-30-J05-SO-29,2016-01-15,none,none,11.1,NA,107,NA,NA,NA,NA,KI,full work-up 1,DS
U1092,2015-06-14-D09-SO-19,2016-01-15,none,none,19.3,NA,118,NA,NA,NA,NA,KI,full work-up 1,DS
U1093,2015-06-14-D09-SO-12,2016-01-15,none,none,19.1,NA,118,NA,NA,NA,NA,KI,full work-up 1,DS
U1094,2015-06-14-D09-SO-17,2016-01-15,none,none,16.3,NA,115,NA,NA,NA,NA,KI,full work-up 1,DS
U1095,2015-06-14-D09-SO-11,2016-01-15,none,none,19.1,NA,117,NA,NA,Brain dropped on chamois,NA,KI,full work-up 1,DS
U1076,2015-05-31-J09-SO-15,2016-01-18,none,none,11.6,NA,100,NA,NA,NA,NA,DS,full work-up 1,KI
U1077,2015-05-31-J09-SO-26,2016-01-18,none,none,10.2,NA,100,NA,NA,NA,NA,DS,full work-up 1,KI
U1078,2015-05-31-J09-SO-29,2016-01-18,none,none,14.3,NA,119,NA,NA,NA,Large open sore under dorsal on left flank,DS,full work-up 1,KI
U1079,2015-05-31-J09-SO-22,2016-01-18,none,none,NA,NA,104,NA,NA,1 cal chal a not retained,NA,DS,full work-up 1,KI
U1084,2015-05-31-J09-SO-23,2016-01-18,none,none,8.7,NA,94,NA,NA,NA,NA,LP,full work-up 1,DS
U1085,2015-05-31-J09-SO-21,2016-01-18,none,none,11.4,NA,96,NA,NA,NA,NA,LP,full work-up 1,DS
U1086,2015-05-31-J09-SO-28,2016-01-18,none,none,9.7,NA,99,NA,NA,NA,NA,LP,full work-up 1,DS
U1087,2015-05-31-J09-SO-27,2016-01-18,none,none,13.2,NA,85,NA,NA,NA,NA,LP,full work-up 1,DS
U1088,2015-05-31-J09-SO-20,2016-01-18,none,none,9.5,NA,108,NA,NA,NA,NA,LP,full work-up 1,DS
U1089,2015-05-30-J08-SO-27,2016-01-18,none,none,12.1,NA,110,NA,NA,NA,NA,LP,full work-up 1,DS
U1096,2015-05-30-J08-SO-30,2016-01-18,none,none,12.4,NA,115,NA,NA,Fin clip taken for DNA,NA,KI,full work-up 1,DS
U1097,2015-05-30-J08-SO-29,2016-01-18,none,none,8.1,NA,109,NA,NA,NA,NA,KI,full work-up 1,DS
U1098,2015-05-30-J08-SO-21,2016-01-18,none,none,9.3,NA,97,NA,NA,NA,NA,KI,full work-up 1,DS
U1065,2015-05-30-J08-SO-28,2016-01-19,none,none,12.3,NA,100,NA,NA,NA,NA,CK,full work-up 1,CK
U1066,2015-06-01-J02-SO-30,2016-01-19,none,none,10.3,NA,103,NA,NA,NA,NA,CK,full work-up 1,CK
U1067,2015-06-01-J02-SO-21,2016-01-19,none,none,9.8,NA,96,NA,NA,Smshed cal pre adult retained some,NA,CK,full work-up 1,CK
U1080,2015-05-30-J08-SO-18,2016-01-19,none,none,9.3,NA,107,NA,NA,NA,NA,DS,full work-up 1,CK
U1090,2015-05-30-J08-SO-22,2016-01-19,none,none,10.7,NA,110,NA,NA,NA,NA,LP,full work-up 1,CK
U1099,2015-05-30-J08-SO-23,2016-01-19,none,none,9.5,NA,107,NA,NA,NA,NA,KI,full work-up 1,CK
U1100,2015-05-30-J08-SO-26,2016-01-19,none,none,11.4,NA,112,NA,NA,NA,NA,KI,full work-up 1,CK
U1101,2015-05-30-J08-SO-20,2016-01-19,none,none,10.4,NA,105,NA,NA,NA,NA,LP,full work-up 1,CK
U1121,2015-05-30-J08-SO-25,2016-01-19,none,none,11,NA,114,NA,NA,NA,NA,DS,full work-up 1,CK
U1122,2015-06-01-J02-SO-19,2016-01-19,none,none,9.1,NA,90,NA,NA,NA,Parasite inside flesh wound on right flank,DS,full work-up 1,CK
U1123,2015-06-01-J02-SO-22,2016-01-19,none,none,9.9,NA,95,NA,NA,NA,NA,DS,full work-up 1,CK
U1124,2015-06-01-J02-SO-28,2016-01-19,none,none,9.6,NA,94,NA,NA,NA,NA,DS,full work-up 1,CK
U1125,2015-06-01-J02-SO-17,2016-01-19,none,none,10.4,NA,101,NA,NA,NA,Very red flesh from skin to spine,DS,full work-up 1,CK
U1131,2015-06-01-J02-SO-20,2016-01-19,none,none,9.2,NA,95,NA,NA,NA,NA,KI,full work-up 1,CK
U1132,2015-06-01-J02-SO-29,2016-01-19,none,none,8.8,NA,95,NA,NA,1 cal cope on fin missing posterior end,NA,KI,full work-up 1,CK
U1133,2015-06-01-J02-SO-16,2016-01-19,none,none,12.2,NA,99,NA,NA,NA,NA,KI,full work-up 1,CK
U1134,2015-06-01-J02-SO-24,2016-01-19,none,none,9.5,NA,98,NA,NA,NA,Hemoragging anal fins/mouth,KI,full work-up 1,CK
U1068,2015-06-01-J10-SO-15,2016-01-20,none,none,13,NA,104,NA,NA,NA,NA,CK,full work-up 1,CK
U1069,2015-06-01-J10-SO-25,2016-01-20,none,none,11.6,NA,98,NA,NA,NA,NA,CK,full work-up 1,CK
U1070,2015-06-01-J10-SO-24,2016-01-20,none,none,16,NA,115,NA,NA,NA,NA,CK,full work-up 1,CK
U1102,2015-06-01-J10-SO-13,2016-01-20,none,none,11.2,NA,107,NA,NA,NA,Red flesh,LP,full work-up 1,CK
U1103,2015-06-01-J10-SO-21,2016-01-20,none,none,11.4,NA,108,NA,NA,NA,NA,LP,full work-up 1,CK
U1104,2015-06-01-J10-SO-23,2016-01-20,none,none,13.6,NA,104,NA,NA,NA,NA,LP,full work-up 1,CK
U1105,2015-05-27-J10-SO-29,2016-01-20,none,none,10.1,NA,96,NA,NA,NA,NA,LP,full work-up 1,CK
U1106,2015-05-27-J10-SO-19,2016-01-20,none,none,9.6,NA,101,NA,NA,NA,NA,LP,full work-up 1,CK
U1126,2015-06-01-J10-SO-26,2016-01-20,none,none,NA,NA,101,NA,NA,NA,NA,DS,full work-up 1,CK
U1127,2015-06-01-J10-SO-30,2016-01-20,none,none,9.8,NA,97,NA,NA,NA,Flesh tears easily small adipose fin,DS,full work-up 1,CK
U1128,2015-06-01-J10-SO-22,2016-01-20,none,none,11.3,NA,100,NA,NA,NA,NA,DS,full work-up 1,CK
U1135,2015-06-01-J10-SO-28,2016-01-20,none,none,10.5,NA,115,NA,NA,1 cal cope not retained,NA,KI,full work-up 1,CK
U1136,2015-05-27-J10-SO-26,2016-01-20,none,none,12.4,NA,107,NA,NA,NA,NA,KI,full work-up 1,CK
U1137,2015-05-27-J10-SO-22,2016-01-20,none,none,9.5,NA,107,NA,NA,1 cal cope not retained,NA,KI,full work-up 1,CK
U1138,2015-05-27-J10-SO-18,2016-01-20,none,none,6.7,NA,95,NA,NA,NA,NA,KI,full work-up 1,CK
U1141,2015-05-27-J10-SO-23,2016-01-20,none,none,10.9,NA,108,NA,NA,NA,NA,CK,full work-up 1,CK
U1142,2015-05-27-J10-SO-16,2016-01-20,none,none,11.6,NA,110,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,CK
U1143,2015-05-27-J10-SO-24,2016-01-20,none,none,8.6,NA,102,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry,NA,CK,full work-up 1,CK
U1107,2015-05-27-J10-SO-21,2016-01-21,none,none,8.6,NA,100,NA,NA,NA,Half cal chal b retained lots of scales rubbed off,LP,full work-up 1,NA
U1108,2015-06-20-J04-SO-6,2016-01-21,none,none,12.6,NA,112,NA,NA,NA,Lots of scales rubbed off,LP,full work-up 1,CK
U1109,2015-06-20-J04-SO-3,2016-01-21,none,none,16.6,NA,123,NA,NA,NA,NA,LP,full work-up 1,CK
U1110,2015-06-20-J04-SO-7,2016-01-21,none,none,12.3,NA,109,NA,NA,NA,NA,LP,full work-up 1,CK
U1129,2015-06-20-J04-SO-5,2016-01-21,none,none,NA,NA,124,NA,NA,1 cal chal a not retained,NA,DS,full work-up 1,CK
U1130,2015-06-20-J04-SO-12,2016-01-21,none,none,17.4,NA,126,NA,NA,NA,NA,DS,full work-up 1,CK
